date,high,low,close
"Oct 27, 2020","13,759.67","13,060.84","13,654.22"
"Oct 26, 2020","13,225.30","12,822.38","13,075.25"
"Oct 25, 2020","13,329.18","12,910.06","13,031.17"
"Oct 24, 2020","13,145.07","12,885.75","13,108.06"
"Oct 23, 2020","13,015.96","12,752.65","12,931.54"
"Oct 22, 2020","13,161.59","12,717.09","12,965.89"
"Oct 21, 2020","13,184.57","11,900.93","12,823.69"
"Oct 20, 2020","11,999.92","11,681.48","11,916.34"
"Oct 19, 2020","11,799.09","11,408.29","11,742.04"
"Oct 18, 2020","11,483.36","11,347.58","11,483.36"
"Oct 17, 2020","11,386.26","11,285.35","11,358.10"
"Oct 16, 2020","11,540.06","11,223.01","11,322.12"
"Oct 15, 2020","11,569.91","11,303.60","11,495.35"
"Oct 14, 2020","11,539.98","11,307.83","11,429.51"
"Oct 13, 2020","11,548.98","11,321.22","11,425.90"
"Oct 12, 2020","11,698.47","11,240.69","11,555.36"
"Oct 11, 2020","11,428.81","11,288.63","11,384.18"
"Oct 10, 2020","11,442.21","11,056.94","11,296.36"
"Oct 09, 2020","11,102.67","10,846.85","11,064.46"
"Oct 08, 2020","10,945.74","10,562.61","10,915.69"
"Oct 07, 2020","10,680.51","10,562.51","10,668.97"
"Oct 06, 2020","10,797.58","10,528.89","10,604.41"
"Oct 05, 2020","10,793.51","10,634.60","10,793.34"
"Oct 04, 2020","10,686.00","10,534.39","10,669.58"
"Oct 03, 2020","10,598.94","10,511.13","10,549.33"
"Oct 02, 2020","10,657.84","10,416.69","10,575.98"
"Oct 01, 2020","10,933.62","10,472.36","10,619.45"
"Sep 30, 2020","10,847.26","10,669.32","10,784.49"
"Sep 29, 2020","10,860.00","10,649.50","10,844.64"
"Sep 28, 2020","10,945.35","10,703.89","10,709.65"
"Sep 27, 2020","10,803.98","10,622.92","10,775.27"
"Sep 26, 2020","10,773.00","10,667.28","10,750.72"
"Sep 25, 2020","10,777.70","10,578.91","10,692.72"
"Sep 24, 2020","10,771.06","10,231.49","10,760.07"
"Sep 23, 2020","10,537.83","10,197.86","10,246.19"
"Sep 22, 2020","10,568.08","10,382.73","10,538.46"
"Sep 21, 2020","10,988.30","10,380.26","10,462.26"
"Sep 20, 2020","11,095.87","10,814.48","10,938.27"
"Sep 19, 2020","11,134.09","10,909.62","11,094.35"
"Sep 18, 2020","11,034.91","10,829.66","10,944.59"
"Sep 17, 2020","11,037.42","10,774.63","10,948.99"
"Sep 16, 2020","11,100.12","10,704.88","10,974.90"
"Sep 15, 2020","10,938.63","10,656.46","10,796.95"
"Sep 14, 2020","10,800.01","10,266.01","10,680.84"
"Sep 13, 2020","10,577.22","10,224.33","10,323.76"
"Sep 12, 2020","10,578.84","10,292.39","10,442.17"
"Sep 11, 2020","10,434.92","10,140.84","10,400.91"
"Sep 10, 2020","10,503.91","10,238.14","10,363.14"
"Sep 09, 2020","10,350.54","10,017.25","10,242.35"
"Sep 08, 2020","10,414.78","9,945.11","10,131.52"
"Sep 07, 2020","10,399.15","9,916.49","10,369.56"
"Sep 06, 2020","10,353.93","10,056.89","10,280.35"
"Sep 05, 2020","10,581.57","9,946.68","10,169.57"
"Sep 04, 2020","10,663.92","10,207.94","10,511.81"
"Sep 03, 2020","11,443.02","10,182.47","10,245.30"
"Sep 02, 2020","11,964.82","11,290.79","11,414.03"
"Sep 01, 2020","12,067.08","11,601.13","11,970.48"
"Aug 31, 2020","11,768.88","11,598.32","11,680.82"
"Aug 30, 2020","11,715.26","11,492.38","11,711.51"
"Aug 29, 2020","11,585.64","11,466.29","11,506.87"
"Aug 28, 2020","11,545.62","11,316.42","11,542.50"
"Aug 27, 2020","11,570.79","11,185.94","11,323.40"
"Aug 26, 2020","11,530.05","11,296.99","11,488.36"
"Aug 25, 2020","11,778.30","11,189.85","11,366.14"
"Aug 24, 2020","11,807.63","11,623.25","11,774.60"
"Aug 23, 2020","11,713.43","11,559.92","11,664.85"
"Aug 22, 2020","11,689.41","11,448.81","11,681.83"
"Aug 21, 2020","11,899.26","11,564.98","11,592.49"
"Aug 20, 2020","11,900.41","11,710.06","11,878.37"
"Aug 19, 2020","12,028.92","11,687.33","11,758.28"
"Aug 18, 2020","12,335.71","11,954.53","11,991.23"
"Aug 17, 2020","12,359.06","11,806.70","12,254.40"
"Aug 16, 2020","11,934.90","11,737.19","11,892.80"
"Aug 15, 2020","11,963.20","11,768.70","11,865.70"
"Aug 14, 2020","12,150.99","11,685.46","11,768.87"
"Aug 13, 2020","11,796.40","11,216.87","11,784.14"
"Aug 12, 2020","11,748.40","11,249.61","11,584.93"
"Aug 11, 2020","11,932.71","11,195.71","11,410.53"
"Aug 10, 2020","12,045.14","11,662.26","11,878.11"
"Aug 09, 2020","11,806.06","11,548.78","11,675.74"
"Aug 08, 2020","11,800.06","11,558.43","11,754.05"
"Aug 07, 2020","11,898.04","11,408.59","11,601.47"
"Aug 06, 2020","11,902.34","11,598.71","11,779.77"
"Aug 05, 2020","11,786.62","11,158.29","11,747.02"
"Aug 04, 2020","11,385.38","11,094.15","11,205.89"
"Aug 03, 2020","11,453.08","11,012.41","11,246.35"
"Aug 02, 2020","12,034.14","11,018.13","11,053.61"
"Aug 01, 2020","11,794.78","11,239.68","11,759.59"
"Jul 31, 2020","11,415.86","10,987.05","11,323.47"
"Jul 30, 2020","11,169.36","10,895.46","11,111.21"
"Jul 29, 2020","11,304.40","10,856.14","11,100.47"
"Jul 28, 2020","11,204.33","10,632.63","10,912.82"
"Jul 27, 2020","11,298.22","9,903.97","10,990.87"
"Jul 26, 2020","10,023.81","9,652.85","9,905.17"
"Jul 25, 2020","9,704.56","9,530.21","9,677.11"
"Jul 24, 2020","9,623.34","9,481.45","9,536.89"
"Jul 23, 2020","9,610.25","9,483.00","9,581.07"
"Jul 22, 2020","9,530.52","9,319.65","9,525.36"
"Jul 21, 2020","9,407.26","9,149.39","9,374.89"
"Jul 20, 2020","9,214.27","9,137.51","9,164.23"
"Jul 19, 2020","9,201.40","9,097.63","9,185.82"
"Jul 18, 2020","9,230.98","9,100.82","9,159.04"
"Jul 17, 2020","9,182.25","9,089.20","9,151.39"
"Jul 16, 2020","9,214.31","9,088.95","9,132.23"
"Jul 15, 2020","9,275.33","9,171.93","9,192.84"
"Jul 14, 2020","9,283.84","9,171.66","9,243.21"
"Jul 13, 2020","9,306.40","9,224.29","9,243.61"
"Jul 12, 2020","9,319.42","9,197.45","9,276.50"
"Jul 11, 2020","9,293.53","9,199.49","9,240.35"
"Jul 10, 2020","9,287.47","9,118.00","9,278.81"
"Jul 09, 2020","9,431.38","9,235.00","9,277.97"
